id,code,name,reconcile,user_type_id/id,chart_template_id/id,note
account_321200,321200,資本公積－特別股股票溢價,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_321300,321300,資本公積－庫藏股票交易,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_321400,321400,資本公積－股份基礎給付,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_321500,321500,資本公積－受贈資產,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_321600,321600,資本公積－採用權益法認列關聯企業及合資股權淨值變動數,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_321700,321700,資本公積－實際取得或處分子公司股權價格與帳面價值差額,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_321800,321800,資本公積－認列對子公司所有權權益變動數,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_321900,321900,資本公積－認股權,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_322000,322000,資本公積－其他,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_331100,331100,法定盈餘公積,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_332100,332100,特別盈餘公積,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_335100,335100,累積盈虧,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,
account_335200,335200,追溯適用及追溯重編之影響數,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_335300,335300,本期損益,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_341100,341100,備供出售金融資產未實現損益,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_341200,341200,現金流量避險中屬有效避險部分之避險工具損益,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_341300,341300,國外營運機構財務報表換算之兌換差額,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_341400,341400,未實現重估增值,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_341500,341500,其他權益－其他,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,
account_351100,351100,庫藏股票,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_411200,411200,分期付款銷貨收入 ,FALSE,account.data_account_type_revenue,l10n_tw.tw_chart_template,非常用專案
account_411300,411300,銷貨退回,FALSE,account.data_account_type_revenue,l10n_tw.tw_chart_template,
account_411400,411400,銷貨折讓,FALSE,account.data_account_type_revenue,l10n_tw.tw_chart_template,
account_412100,412100,勞務收入,FALSE,account.data_account_type_revenue,l10n_tw.tw_chart_template,非常用專案
account_413100,413100,工程收入,FALSE,account.data_account_type_revenue,l10n_tw.tw_chart_template,非常用專案
account_423200,423200,工程收入退回及折讓,FALSE,account.data_account_type_revenue,l10n_tw.tw_chart_template,非常用專案
account_414100,414100,其他營業收入,FALSE,account.data_account_type_revenue,l10n_tw.tw_chart_template,
account_511200,511200,分期付款銷貨成本,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_512100,512100,進貨,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_512200,512200,進貨費用,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_512300,512300,進貨退出,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_512400,512400,進貨折讓,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_513100,513100,進料,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_513200,513200,進料費用,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_513300,513300,進料退出,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_513400,513400,進料折讓,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_514100,514100,直接人工,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_515100,515100,間接人工,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_515200,515200,製-租金支出,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_515300,515300,製-文具用品,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_515400,515400,製-旅費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_515500,515500,製-運費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_515600,515600,製-郵電費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_515700,515700,製-修繕費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_515800,515800,製-包裝費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_515900,515900,製-水電瓦斯費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_516000,516000,製-保險費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_516100,516100,製-加工費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_516200,516200,製-稅捐 ,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_516300,516300,製-折舊,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_516400,516400,製-各項耗竭及攤提,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_516500,516500,製-伙食費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_516600,516600,製-職工福利,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_516700,516700,製-訓練費,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_516800,516800,製-間接材料,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_516900,516900,製-其他製造費用,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_561100,561100,製-勞務成本,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_581100,581100,製-工程成本,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,非常用專案
account_591100,591100,製-其他營業成本,FALSE,account.data_account_type_direct_costs,l10n_tw.tw_chart_template,
account_611100,611100,薪資支出,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_611200,611200,租金支出,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_611300,611300,文具用品,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_611400,611400,旅費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_611500,611500,運費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
